link,queue,start,end,cycle
"(14, 6)",2,0,3520,100000
"(6, 7)",2,5760,9280,100000
"(7, 0)",2,11520,15040,100000
"(0, 1)",2,17280,20800,100000
"(1, 2)",2,23040,26560,100000
"(2, 10)",2,28800,32320,100000
"(9, 1)",2,0,2560,100000
"(1, 2)",2,4800,7360,100000
"(2, 3)",2,9600,12160,100000
"(3, 4)",2,14400,16960,100000
"(4, 5)",2,19200,21760,100000
"(5, 13)",2,24000,26560,100000
"(10, 2)",2,0,3520,100000
"(2, 1)",2,5760,9280,100000
"(1, 0)",2,11520,15040,100000
"(0, 8)",2,17280,20800,100000
"(11, 3)",2,0,5120,100000
"(15, 7)",2,9280,14400,100000
"(7, 0)",2,16640,21760,100000
"(3, 2)",2,7360,12480,100000
"(2, 10)",2,14720,19840,100000
"(0, 8)",2,24000,29120,100000
"(13, 5)",2,0,2560,100000
"(5, 4)",2,4800,7360,100000
"(4, 3)",2,9600,12160,100000
"(3, 11)",2,14400,16960,100000
"(8, 0)",2,0,2560,100000
"(12, 4)",2,0,2560,100000
"(0, 1)",2,4800,7360,100000
"(4, 3)",2,4800,7360,100000
"(1, 9)",2,9600,12160,100000
"(3, 11)",2,9600,12160,100000
