id,ins_id,link,queue
6,0,"(14, 6)",0
6,0,"(6, 7)",0
6,0,"(7, 0)",0
6,0,"(0, 1)",0
6,0,"(1, 2)",0
6,0,"(2, 10)",0
1,0,"(9, 1)",0
1,0,"(1, 2)",0
1,0,"(2, 3)",0
1,0,"(3, 4)",0
1,0,"(4, 5)",0
1,0,"(5, 13)",0
2,0,"(10, 2)",0
2,0,"(2, 1)",0
2,0,"(1, 0)",0
2,0,"(0, 8)",0
3,0,"(11, 3)",0
7,0,"(15, 7)",0
7,0,"(7, 0)",0
3,0,"(3, 2)",0
3,0,"(2, 10)",0
7,0,"(0, 8)",0
5,0,"(13, 5)",0
5,0,"(5, 4)",0
5,0,"(4, 3)",0
5,0,"(3, 11)",0
0,0,"(8, 0)",0
4,0,"(12, 4)",0
0,0,"(0, 1)",0
4,0,"(4, 3)",0
0,0,"(1, 9)",0
4,0,"(3, 11)",0
